transaction_date,institution_name,account_id,product_family,holding_name,holding_key,movement_type,transaction_type,transaction_type_additional_info,gross_amount,net_amount,currency,transaction_id,data_quality_flags
2019-10-06,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2019-10-06|2022-10-01,ENTRADA,APLICACAO,NULL,232340.0,232340.0,BRL,7486446893143310,[]
2019-10-16,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,BBDC4,BBDC4,ENTRADA,COMPRA,NULL,206862.5,NULL,BRL,8653036667641454,[]
2019-10-31,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2019-10-31|2022-10-01,ENTRADA,APLICACAO,NULL,184584.0,184584.0,BRL,2369575189900074,[]
2019-11-15,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,PETR4,PETR4,ENTRADA,COMPRA,NULL,196480.0,NULL,BRL,8940043255666074,[]
2019-11-20,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,funds,TESOURO SELIC SIMPLES FIRF,32915987000180,ENTRADA,APLICACAO,NULL,169902.0,NULL,BRL,2754291178915057,[]
2019-11-22,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,treasure_titles,Tesouro Educa+ 2031,Tesouro Educa+ 2031,ENTRADA,COMPRA,NULL,167647.5,167647.5,BRL,5205193430044954,[]
2020-01-10,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-01-10|2023-01-01,ENTRADA,APLICACAO,NULL,54270.0,54270.0,BRL,5838147242880924,[]
2020-01-28,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2020-01-28|2023-01-01,ENTRADA,APLICACAO,NULL,125447.0,125447.0,BRL,1755647427342547,[]
2020-02-29,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,funds,KAPITALO KAPPA FIC FIM,18318213000154,ENTRADA,APLICACAO,NULL,20181.0,NULL,BRL,4412656166270776,[]
2020-03-13,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2020-03-13|2023-03-01,ENTRADA,APLICACAO,NULL,51312.0,51312.0,BRL,6753473890523981,[]
2020-04-01,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2020-04-01|2023-04-01,ENTRADA,APLICACAO,NULL,81729.0,81729.0,BRL,1577683605469969,[duplicate:cross_id]
2020-04-11,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,ITUB4,ITUB4,ENTRADA,COMPRA,NULL,225900.0,NULL,BRL,8596280439815734,[]
2020-06-16,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,NULL,7125637152198790,ENTRADA,APLICACAO,NULL,213192.0,213192.0,BRL,7682280470003757,[]
2020-06-19,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,variable_incomes,B3SA3,B3SA3,ENTRADA,COMPRA,NULL,112145.0,NULL,BRL,6655527890762326,[]
2020-07-03,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-07-03|2023-07-01,ENTRADA,APLICACAO,NULL,16052.0,16052.0,BRL,6373576800844725,[]
2020-08-09,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2020-08-09|2023-08-01,ENTRADA,APLICACAO,NULL,192228.0,192228.0,BRL,1009132204114687,[duplicate:cross_id]
2020-08-12,Nubank,495fc091-d764-5a72-8f9b-708ae74cbe45,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-08-12|2023-08-01,ENTRADA,TRANSFERENCIA_CUSTODIA,NULL,174799.0,174799.0,BRL,d6f727c9-88ed-569a-9771-764a023e5a9c,[]
2020-08-18,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2020-08-18|2023-08-01,ENTRADA,APLICACAO,NULL,169955.0,169955.0,BRL,2803836710086930,[]
2020-09-08,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2020-09-08|2023-09-01,ENTRADA,APLICACAO,NULL,221541.0,221541.0,BRL,3738662068017127,[]
2020-09-09,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-09-09|2023-09-01,ENTRADA,APLICACAO,NULL,165624.0,165624.0,BRL,1998070370557699,[]
2020-09-20,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,credit_fixed_incomes,MRS LOGISTICA S/A,BRCRISEC02A2|01417222000177|2027-06-15,ENTRADA,COMPRA,NULL,56301.0,56301.0,BRL,0247693826107469,[]
2020-09-23,BTG Banking,ccdc8073-a0e3-5799-992d-9af6310ba197,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2020-09-23|2023-09-01,ENTRADA,APLICACAO,NULL,74475.0,74475.0,BRL,4165853264723112,[]
